team_id,game_id,game_date,home_away,pts,off_rtg,off_rtg_10,def_rtg,def_rtg_10,pace,pace_10,pie,pie_10
1610612760,0021000011,2010-10-27,H,106,106.949,112.89,103.468,110.52,94.24,96.698,0.53,0.509
1610612760,0021000024,2010-10-29,A,105,107.09,111.96,103.704,109.91,94.277,97.148,0.53,0.517
1610612760,0021000042,2010-10-31,H,99,107.212,109.57,103.976,110.19,94.472,97.298,0.531,0.5
1610612760,0021000064,2010-11-03,A,92,107.221,107.43,104.148,110.31,94.5,97.048,0.53,0.482
1610612760,0021000067,2010-11-04,A,96,107.439,106.4,104.16,108.74,94.366,95.554,0.531,0.478
1610612760,0021000093,2010-11-07,H,83,107.195,106.04,104.393,108.86,94.366,94.804,0.526,0.471
1610612760,0021000115,2010-11-10,H,109,107.371,107.28,104.444,109.8,94.336,95.004,0.528,0.477
1610612760,0021000128,2010-11-12,H,110,107.728,108.28,104.84,110.17,94.342,93.654,0.527,0.483
1610612760,0021000141,2010-11-14,H,104,107.7,107.76,105.007,109.91,94.403,95.004,0.527,0.487
1610612760,0021000148,2010-11-15,A,115,107.967,108.4,105.071,110.6,94.427,94.654,0.528,0.486
1610612760,0021000164,2010-11-17,H,116,108.055,109.9,105.149,111.61,94.513,94.154,0.529,0.489
1610612760,0021000171,2010-11-19,A,89,108.079,108.74,104.943,109.99,94.421,93.654,0.53,0.483
1610612760,0021000186,2010-11-20,A,82,107.629,108.04,104.685,106.91,94.324,92.654,0.529,0.502
1610612760,0021000197,2010-11-22,H,117,107.96,109.93,104.682,106.37,94.391,93.204,0.531,0.524
1610612760,0021000216,2010-11-24,H,103,107.974,109.39,104.91,106.89,94.372,94.15,0.53,0.521
1610612760,0021000227,2010-11-26,A,99,107.837,110.54,104.935,106.77,94.41,94.709,0.528,0.532
1610612760,0021000247,2010-11-28,A,98,107.989,110.44,104.996,107.4,94.355,93.809,0.528,0.524
1610612760,0021000251,2010-11-29,H,95,107.64,108.08,104.746,104.74,94.392,94.359,0.528,0.53
1610612760,0021000262,2010-12-01,A,93,107.763,108.47,104.563,103.33,94.378,93.147,0.53,0.536
1610612760,0021000276,2010-12-03,A,99,107.777,106.04,104.906,103.03,94.311,93.697,0.528,0.524
1610612760,0021000297,2010-12-05,H,114,107.829,105.35,104.962,103.4,94.415,94.197,0.528,0.519
1610612760,0021000305,2010-12-06,A,90,107.791,104.93,104.879,104.6,94.457,94.647,0.527,0.509
1610612760,0021000320,2010-12-08,A,111,108.016,107.25,104.905,106.42,94.451,95.247,0.529,0.515
1610612760,0021000335,2010-12-10,A,97,108.149,106.32,104.783,106.04,94.464,94.197,0.53,0.506
1610612760,0021000352,2010-12-12,H,106,108.076,107.13,104.484,103.04,94.482,93.697,0.532,0.538
1610612760,0021000374,2010-12-15,H,117,108.366,109.37,104.544,104.35,94.543,93.388,0.533,0.544
1610612760,0021000388,2010-12-17,H,102,108.429,109.44,104.344,102.45,94.433,93.788,0.536,0.561
1610612760,0021000405,2010-12-19,H,110,108.385,110.66,104.387,104.63,94.396,94.088,0.535,0.552
1610612760,0021000415,2010-12-21,A,99,108.399,110.75,104.277,103.56,94.384,94.25,0.537,0.566
1610612760,0021000425,2010-12-22,A,98,108.252,110.75,104.493,103.67,94.445,94.2,0.534,0.563
1610612760,0021000436,2010-12-25,H,114,108.274,111.11,104.582,104.04,94.464,93.75,0.534,0.562
1610612760,0021000450,2010-12-27,H,93,108.34,111.64,104.766,104.47,94.488,93.65,0.533,0.566
1610612760,0021000468,2010-12-29,H,114,108.585,111.83,104.668,103.15,94.575,93.85,0.534,0.568
1610612760,0021000481,2010-12-31,H,103,108.649,112.13,104.796,103.04,94.569,94.15,0.533,0.57
1610612760,0021000488,2011-01-01,A,74,108.268,107.81,104.652,104.58,94.733,95.15,0.531,0.521
1610612760,0021000508,2011-01-04,A,105,108.295,105.8,104.8,104.28,94.678,95.8,0.53,0.51
1610612760,0021000523,2011-01-06,A,99,108.288,105.35,104.982,105.49,94.599,95.7,0.528,0.498
1610612760,0021000541,2011-01-08,H,109,108.355,105.48,104.95,104.37,94.654,95.5,0.529,0.511
1610612760,0021000568,2011-01-12,A,118,108.579,106.76,105.102,106.94,94.672,96.15,0.531,0.5
1610612760,0021000574,2011-01-13,H,125,108.933,109.99,105.685,108.87,94.672,95.75,0.53,0.516
1610612760,0021000610,2011-01-17,A,94,108.844,108.44,105.733,108.81,94.745,95.3,0.528,0.504
1610612760,0021000622,2011-01-19,A,107,109.015,109.95,105.984,110.02,94.751,95.2,0.528,0.507
1610612760,0021000647,2011-01-22,H,101,109.187,109.17,106.09,111.04,94.8,94.7,0.528,0.493
1610612760,0021000660,2011-01-24,A,89,109.121,108.44,106.026,111.38,94.745,94.05,0.527,0.485
1610612760,0021000673,2011-01-26,A,106,109.277,111.74,106.089,112.01,94.826,93.962,0.528,0.508
1610612760,0021000688,2011-01-28,H,102,109.3,112.2,106.238,111.35,94.835,93.34,0.528,0.521
1610612760,0021000701,2011-01-30,H,103,109.243,112.28,106.343,112.16,94.787,93.74,0.527,0.514
1610612760,0021000725,2011-02-02,H,104,109.148,112.62,106.196,112.08,94.835,93.09,0.527,0.514
1610612760,0021000742,2011-02-04,A,111,109.191,111.9,106.243,111.44,94.884,93.14,0.528,0.514
1610612760,0021000752,2011-02-05,A,121,109.672,112.21,106.589,109.76,94.671,92.74,0.527,0.516
1610612760,0021000771,2011-02-08,H,91,109.712,111.88,106.862,109.27,94.653,92.697,0.525,0.514
1610612760,0021000803,2011-02-12,A,99,109.738,110.68,107.012,107.2,94.635,93.047,0.524,0.519
1610612760,0021000811,2011-02-13,A,94,109.684,110.5,107.059,107.99,94.512,92.547,0.524,0.517
1610612760,0021000821,2011-02-15,H,126,109.806,112.51,106.863,106.97,94.579,94.097,0.526,0.541
1610612760,0021000843,2011-02-22,H,111,109.971,114.08,106.694,105.91,94.542,93.235,0.528,0.555
1610612760,0021000855,2011-02-23,A,105,110.124,113.52,106.777,106.58,94.621,93.857,0.527,0.542
1610612760,0021000867,2011-02-25,A,88,110.0,112.35,107.138,107.28,94.5,93.507,0.523,0.522
1610612760,0021000880,2011-02-27,H,87,109.712,110.44,107.166,107.06,94.378,93.457,0.521,0.51
1610612760,0021000908,2011-03-02,H,113,109.579,110.19,106.822,104.84,94.487,93.857,0.523,0.523
1610612760,0021000917,2011-03-04,A,111,109.976,108.51,106.791,104.34,94.359,94.207,0.526,0.521
1610612760,0021000937,2011-03-06,H,110,110.046,109.7,107.029,104.56,94.368,95.022,0.524,0.534
1610612760,0021000944,2011-03-07,A,101,109.967,110.74,107.162,106.76,94.338,94.222,0.523,0.526
1610612760,0021000955,2011-03-09,A,99,110.01,111.07,107.368,106.26,94.308,94.329,0.523,0.533
1610612760,0021000973,2011-03-11,H,104,110.135,111.04,107.391,107.87,94.204,92.579,0.523,0.521
1610612760,0021000985,2011-03-13,A,95,109.851,109.17,106.956,106.44,94.174,92.629,0.524,0.525
1610612760,0021000992,2011-03-14,A,116,110.087,110.28,106.744,104.22,94.241,92.729,0.527,0.544
1610612760,0021001006,2011-03-16,A,96,109.927,111.16,106.751,101.39,94.174,92.729,0.526,0.573
1610612760,0021001022,2011-03-18,H,99,110.029,112.63,106.367,100.48,94.064,92.679,0.529,0.59
1610612760,0021001041,2011-03-20,H,93,109.948,111.44,106.285,102.0,94.095,91.829,0.528,0.57
1610612760,0021001061,2011-03-23,H,106,109.899,111.42,106.295,101.5,93.973,91.379,0.528,0.573
1610612760,0021001075,2011-03-25,H,111,110.006,111.33,106.561,101.18,94.088,91.407,0.526,0.574
1610612760,0021001092,2011-03-27,H,99,110.16,111.36,106.489,99.11,94.113,91.357,0.527,0.582
1610612760,0021001103,2011-03-29,H,104,110.052,110.92,106.572,98.77,94.144,92.308,0.526,0.581
1610612760,0021001116,2011-03-30,A,116,110.146,111.58,106.49,98.73,94.144,92.758,0.527,0.584
1610612760,0021001130,2011-04-01,A,91,109.977,111.96,106.499,102.16,93.955,92.058,0.525,0.555
1610612760,0021001137,2011-04-02,A,92,109.741,110.03,106.427,103.58,93.9,91.558,0.524,0.534
1610612760,0021001159,2011-04-05,A,101,109.46,109.58,106.024,103.65,93.895,92.458,0.525,0.536
1610612760,0021001170,2011-04-06,H,112,109.687,109.88,106.15,105.46,93.895,93.358,0.525,0.52
1610612760,0021001185,2011-04-08,H,104,109.893,111.57,106.189,105.13,93.821,93.008,0.526,0.534
1610612760,0021001201,2011-04-10,A,120,110.098,112.56,106.16,105.85,93.693,93.458,0.528,0.532
1610612760,0021001212,2011-04-11,A,120,110.229,113.46,106.095,106.65,93.846,93.508,0.529,0.531
1610612760,0021001225,2011-04-13,H,96,109.985,112.08,106.013,106.8,93.858,94.358,0.529,0.527
1610612760,0021100004,2011-12-25,H,97,109.951,112.06,106.021,106.0,93.779,93.7,0.529,0.534
1610612760,0021100011,2011-12-26,A,104,109.898,109.92,105.905,105.11,93.827,94.55,0.528,0.527
1610612760,0021100027,2011-12-28,A,98,110.056,110.22,105.744,104.0,93.681,95.05,0.53,0.54
1610612760,0021100035,2011-12-29,H,104,110.209,111.26,105.722,104.53,93.663,95.1,0.532,0.547
1610612760,0021100053,2011-12-31,H,107,110.166,112.19,105.595,105.22,93.796,94.75,0.533,0.547
1610612760,0021100073,2012-01-02,A,87,110.207,110.31,105.704,105.2,93.803,94.05,0.533,0.539
1610612760,0021100079,2012-01-03,H,93,110.096,108.95,105.789,106.52,93.723,94.2,0.532,0.52
1610612760,0021100105,2012-01-06,H,109,110.034,107.76,105.556,105.22,93.76,94.2,0.533,0.522
1610612760,0021100115,2012-01-07,A,98,110.094,106.65,105.432,104.47,93.632,93.25,0.533,0.515
1610612760,0021100122,2012-01-08,H,108,109.91,107.78,105.22,104.09,93.693,93.3,0.534,0.527
1610612760,0021100137,2012-01-10,A,100,109.746,108.22,105.209,104.95,93.656,93.15,0.533,0.52
1610612760,0021100148,2012-01-11,A,95,109.888,108.66,105.262,104.72,93.614,91.9,0.533,0.523
1610612760,0021100177,2012-01-14,H,104,110.071,108.16,105.322,103.45,93.705,92.85,0.534,0.53
1610612760,0021100192,2012-01-16,A,97,109.957,107.87,105.21,102.17,93.583,92.55,0.533,0.534
1610612760,0021100203,2012-01-18,A,102,109.832,106.65,105.032,102.27,93.687,93.25,0.534,0.526
1610612760,0021100231,2012-01-21,A,84,109.644,105.92,104.771,99.12,93.667,93.6,0.535,0.548
1610612760,0021100247,2012-01-23,H,99,109.57,106.12,104.423,96.2,93.74,93.95,0.537,0.568
1610612760,0021100263,2012-01-25,H,101,109.66,105.01,104.474,95.87,93.722,94.05,0.537,0.568
1610612760,0021100284,2012-01-27,A,120,109.724,105.44,104.5,95.69,93.931,95.6,0.538,0.576
1610612760,0021100307,2012-01-30,A,100,109.79,105.06,104.557,97.6,93.888,95.3,0.538,0.556
1610612760,0021100321,2012-02-01,A,95,109.556,103.79,104.323,96.14,93.864,95.9,0.537,0.559
1610612760,0021100339,2012-02-03,H,101,109.74,103.72,104.299,96.7,93.827,96.4,0.539,0.561
1610612760,0021100350,2012-02-04,A,96,109.591,103.32,104.377,98.67,93.797,96.0,0.538,0.548
1610612760,0021100366,2012-02-06,A,100,109.607,103.45,104.387,99.29,93.835,96.264,0.538,0.543
1610612760,0021100372,2012-02-07,A,119,109.683,105.91,104.801,101.15,93.914,95.564,0.534,0.542
1610612760,0021100387,2012-02-09,A,101,109.376,107.17,104.716,103.9,94.0,96.114,0.533,0.524
1610612760,0021100399,2012-02-10,A,101,109.318,107.38,104.693,104.66,94.03,96.164,0.532,0.515
1610612760,0021100425,2012-02-14,H,111,109.454,108.97,104.399,104.01,93.951,95.964,0.534,0.529
1610612760,0021100436,2012-02-15,A,95,109.334,107.55,104.522,103.74,94.018,94.964,0.532,0.52
1610612760,0021100453,2012-02-17,H,110,109.501,108.38,104.254,101.18,93.988,95.014,0.536,0.55
1610612760,0021100468,2012-02-19,H,112,109.493,110.59,104.263,103.55,93.983,94.723,0.535,0.544
1610612760,0021100475,2012-02-20,H,101,109.53,109.92,104.084,102.71,94.037,95.373,0.537,0.546
