team_id,game_id,game_date,home_away,pts,off_rtg,off_rtg_10,def_rtg,def_rtg_10,pace,pace_10,pie,pie_10
1610612762,21000014,10/27/2010,A,88,109.479,105.68,103.896,105.5,94.756,98.498,0.545,0.512
1610612762,21000018,10/28/2010,H,94,109.263,104.27,104.063,107.73,94.75,98.798,0.543,0.484
1610612762,21000042,10/31/2010,A,120,109.479,105.53,103.812,107.34,94.823,99.248,0.546,0.495
1610612762,21000061,11/3/2010,H,125,109.912,105.95,103.91,108.33,94.878,98.648,0.548,0.486
1610612762,21000078,11/5/2010,A,78,109.41,104.57,103.671,106.44,94.921,98.448,0.547,0.498
1610612762,21000086,11/6/2010,H,90,109.361,102.44,103.504,104.22,94.872,96.998,0.547,0.5
1610612762,21000103,11/9/2010,A,105,109.554,104.01,103.696,103.76,94.815,96.481,0.547,0.51
1610612762,21000109,11/10/2010,A,104,109.757,103.57,103.498,103.36,94.851,95.981,0.55,0.512
1610612762,21000121,11/12/2010,A,90,109.532,104.06,103.513,104.38,94.79,94.231,0.549,0.506
1610612762,21000130,11/13/2010,A,96,109.511,106.13,103.396,104.63,94.742,93.431,0.549,0.522
1610612762,21000148,11/15/2010,H,108,109.594,109.24,103.745,106.38,94.717,92.431,0.547,0.531
1610612762,21000165,11/17/2010,H,98,109.573,109.99,103.707,104.37,94.821,92.131,0.548,0.552
1610612762,21000178,11/19/2010,H,82,109.427,107.22,103.776,105.22,94.841,90.931,0.546,0.527
1610612762,21000189,11/20/2010,A,103,109.567,105.56,103.688,104.42,94.811,90.381,0.548,0.527
1610612762,21000200,11/22/2010,H,94,109.398,107.94,103.634,104.71,94.823,89.831,0.548,0.536
1610612762,21000219,11/24/2010,H,105,109.326,109,103.539,104.08,94.847,90.283,0.548,0.551
1610612762,21000231,11/26/2010,H,102,109.183,109.09,103.646,103.68,94.78,89.95,0.546,0.556
1610612762,21000245,11/28/2010,A,109,109.511,109.92,103.923,104.39,94.646,89.7,0.546,0.556
1610612762,21000253,11/29/2010,H,109,109.632,111.18,103.678,103.51,94.634,90.55,0.549,0.567
1610612762,21000271,12/1/2010,H,110,109.748,112.79,103.572,103.19,94.591,90.35,0.549,0.579
1610612762,21000286,12/3/2010,H,81,109.813,110.05,103.478,100.88,94.579,90.2,0.551,0.574
1610612762,21000307,12/6/2010,H,94,109.609,110.07,103.289,100.97,94.457,89.8,0.551,0.568
1610612762,21000324,12/8/2010,H,98,109.57,111.73,103.53,102.61,94.445,89.95,0.549,0.572
1610612762,21000339,12/10/2010,H,117,109.79,113.61,103.552,103.9,94.365,89.75,0.55,0.571
