team_id,off_rtg,off_rtg_10,def_rtg,def_rtg_10,pace,pace_10,pie,pie_10
1610612737,113.8,124.2,113.9,119.1,101.23,99.1,0.499,0.523
1610612738,116.6,114.2,110.6,109.3,99.68,97.45,0.532,0.516
1610612751,115.4,115.1,112.9,118.2,98.93,99.65,0.521,0.478
1610612766,108.8,108.6,115.4,114.4,101.67,103.15,0.468,0.475
1610612741,112.6,111.6,112.4,108.2,100.46,100.95,0.504,0.518
1610612739,114.4,117.1,109.7,111.2,96.19,95.6,0.532,0.544
1610612742,115.1,118.2,114.8,120.7,96.21,95.15,0.49,0.468
1610612743,117.7,118.7,113.4,113.8,99.03,98.45,0.529,0.537
1610612765,111.0,112.9,118.0,119.5,100.97,103.5,0.454,0.469
1610612744,113.1,114.5,113.5,114.9,103.25,103.49,0.499,0.504
1610612745,109.1,109.9,116.5,115.8,99.99,100.95,0.463,0.48
1610612754,112.3,110.0,114.5,118.8,101.99,102.15,0.485,0.453
1610612746,112.1,121.4,112.0,117.8,98.24,95.65,0.494,0.507
1610612747,113.0,115.9,113.9,117.1,102.18,100.31,0.502,0.504
1610612763,113.9,112.1,110.2,115.0,101.94,101.65,0.519,0.476
1610612748,110.9,111.5,110.9,109.8,97.04,95.65,0.498,0.508
1610612749,112.1,118.0,109.8,111.7,100.98,103.55,0.515,0.529
1610612750,112.7,111.8,112.5,109.7,101.76,101.88,0.504,0.503
1610612740,113.1,105.8,111.9,117.1,100.29,98.25,0.509,0.45
1610612752,115.0,118.5,113.5,121.5,97.72,94.3,0.506,0.486
1610612760,112.9,116.7,112.1,111.6,102.08,100.95,0.496,0.519
1610612753,111.5,115.0,114.5,115.4,99.49,100.15,0.482,0.496
1610612755,115.6,121.1,111.5,116.9,98.47,98.75,0.52,0.528
1610612756,113.4,110.9,112.2,110.7,98.55,99.56,0.507,0.518
1610612757,116.0,125.0,115.4,123.4,98.25,97.4,0.5,0.496
1610612758,116.9,117.1,114.1,112.9,101.5,99.02,0.514,0.528
1610612759,110.7,113.1,120.4,125.7,101.42,99.86,0.455,0.438
1610612761,114.6,120.6,114.2,119.5,97.92,97.7,0.492,0.49
1610612762,116.7,119.6,115.3,116.2,100.32,98.75,0.505,0.513
1610612764,113.2,119.1,113.4,113.7,99.45,98.45,0.511,0.533
