game_id,date,team_id,home_away,goals,evGGARatio,shotsPerGame,shootingPctg,oppShotsAllowed,oppSavePctg
2015020001,2015-10-07,10,H,1,1.2971,32.2875,10.5,33.7125,0.89
2015020001,2015-10-07,8,A,3,0.8238,27.3,10.1,29.35,0.908
2015020002,2015-10-08,16,H,2,0.6373,26.8125,9.0,29.4321,0.911
2015020002,2015-10-08,3,A,3,1.2067,31.5802,10.6,33.525,0.891
2015020003,2015-10-08,20,H,1,1.0714,35.7901,8.8,30.8,0.882
2015020003,2015-10-08,23,A,5,0.8883,29.725,11.0,27.358,0.889
2015020004,2015-10-08,26,H,1,1.0637,32.3704,10.3,31.9375,0.88
2015020004,2015-10-08,28,A,5,0.7767,29.525,9.7,27.963,0.889
2015020005,2015-10-08,6,H,2,1.7297,32.975,11.0,30.35,0.91
2015020005,2015-10-08,52,A,6,1.069,30.575,9.9,29.825,0.93
2015020006,2015-10-08,7,H,1,0.9592,32.3544,11.0,31.3086,0.895
2015020006,2015-10-08,9,A,3,0.8514,33.4938,9.4,33.1139,0.891
2015020007,2015-10-08,14,H,3,1.0563,31.7625,10.7,31.45,0.893
2015020007,2015-10-08,4,A,2,0.8706,29.2625,9.0,31.575,0.902
2015020008,2015-10-09,19,H,3,0.9677,28.725,11.2,31.425,0.899
2015020008,2015-10-09,22,A,1,1.1257,33.475,11.9,32.2625,0.887
2015020009,2015-10-09,18,H,2,0.9726,29.5875,9.1,25.9625,0.901
2015020009,2015-10-09,12,A,1,1.2279,34.85,9.0,33.3875,0.914
2015020010,2015-10-09,25,H,3,1.2014,31.825,10.8,32.825,0.903
2015020010,2015-10-09,5,A,0,0.994,34.275,9.4,30.1125,0.912
2015020011,2015-10-09,21,H,4,1.1844,33.4051,10.0,31.2625,0.915
2015020011,2015-10-09,30,A,5,1.0444,30.9625,9.5,31.1139,0.912
2015020012,2015-10-09,1,H,1,1.2838,34.4625,10.1,30.35,0.91
2015020012,2015-10-09,52,A,3,1.069,30.575,9.9,28.075,0.904
2015020013,2015-10-09,29,H,2,0.6161,29.1519,8.9,29.4321,0.911
2015020013,2015-10-09,3,A,4,1.2067,31.5802,10.6,35.3671,0.886
2015020014,2015-10-09,17,H,4,0.8192,28.2375,10.4,29.35,0.908
2015020014,2015-10-09,10,A,0,1.2971,32.2875,10.5,30.45,0.891
2015020015,2015-10-09,2,H,2,1.2014,30.7284,9.6,33.525,0.891
2015020015,2015-10-09,16,A,3,0.6373,26.8125,9.0,31.1728,0.915
2015020016,2015-10-10,26,H,1,1.0637,32.3704,10.3,35.1852,0.898
2015020016,2015-10-10,53,A,4,0.8212,25.8148,10.6,27.963,0.889
2015020017,2015-10-10,7,H,1,0.9592,32.3544,11.0,31.575,0.902
