team_id,evGGARatio,shotsPerGame,shotsAllowed,shootingPctg,savePctg
1,1.2838,34.4625,28.075,10.1,0.904
2,1.2014,30.7284,31.1728,9.6,0.915
3,1.2067,31.5802,29.4321,10.6,0.911
4,0.8706,29.2625,31.45,9.0,0.893
5,0.994,34.275,32.825,9.4,0.903
6,1.7297,32.975,29.825,11.0,0.93
7,0.9592,32.3544,33.1139,11.0,0.891
8,0.8238,27.3,33.7125,10.1,0.89
9,0.8514,33.4938,31.3086,9.4,0.895
10,1.2971,32.2875,29.35,10.5,0.908
12,1.2279,34.85,25.9625,9.0,0.901
13,1.2115,36.8519,31.6914,9.5,0.896
14,1.0563,31.7625,31.575,10.7,0.902
15,0.9438,31.1375,30.875,9.9,0.898
16,0.6373,26.8125,33.525,9.0,0.891
17,0.8192,28.2375,30.45,10.4,0.891
18,0.9726,29.5875,33.3875,9.1,0.914
19,0.9677,28.725,32.2625,11.2,0.887
20,1.0714,35.7901,27.358,8.8,0.889
21,1.1844,33.4051,31.1139,10.0,0.912
22,1.1257,33.475,31.425,11.9,0.899
23,0.8883,29.725,30.8,11.0,0.882
24,0.6261,28.3375,39.1875,8.9,0.896
25,1.2014,31.825,30.1125,10.8,0.912
26,1.0637,32.3704,27.963,10.3,0.889
28,0.7767,29.525,31.9375,9.7,0.88
29,0.6161,29.1519,35.3671,8.9,0.886
30,1.0444,30.9625,31.2625,9.5,0.915
52,1.069,30.575,30.35,9.9,0.91
53,0.8212,25.8148,35.1852,10.6,0.898
54,1.1592,31.6375,31.0125,10.3,0.91
55,1.3269,30.5625,26.9875,11.7,0.887
