,player_id,name,position,height,weight
0,griffaj01,AJ Griffin,F,6-6,222
1,brookar01,Armoni Brooks,G,6-3,195
2,ellisma01,Malik Ellison,G,6-6,215
3,culveja01,Jarrett Culver,G,6-6,195
4,silvach01,Chris Silva,F,6-8,234
5,etienty01,Tyson Etienne,G,6-2,203
6,forretr01,Trent Forrest,G,6-4,210
7,martity01,Tyrese Martin,G,6-6,215
8,kaminfr01,Frank Kaminsky,C,7-0,240
9,holidaa01,Aaron Holiday,G,6-0,185
10,capelca01,Clint Capela,C,6-10,240
11,krejcvi01,Vit Krejci,G,6-8,195
12,youngtr01,Trae Young,G,6-1,164
13,collijo01,John Collins,F,6-9,235
14,johnsja05,Jalen Johnson,F,6-9,220
15,bogdabo01,Bogdan Bogdanović,G,6-6,220
16,okongon01,Onyeka Okongwu,C,6-8,235
17,holidju01,Justin Holiday,G,6-6,180
18,murrade01,Dejounte Murray,G,6-4,180
19,huntede01,De'Andre Hunter,F,6-8,225
