,player_id,name,position,height,weight
0,finnedo01,Dorian Finney-Smith,F,6-7,220
1,binghma01,Marcus Bingham Jr.,F,7-0,230
2,stewadj02,D.J. Stewart Jr.,G,6-6,205
3,gueyemo01,Mouhamadou Gueye,F,6-9,210
4,wrighmc01,McKinley Wright IV,G,6-0,196
5,hallty01,Tyler Hall,G,6-5,209
6,dorsety01,Tyler Dorsey,G,6-5,183
7,mcgeeja01,JaVale McGee,C,7-0,270
8,hardyja02,Jaden Hardy,G,6-4,198
9,pinsoth01,Theo Pinson,G,6-5,212
10,poweldw01,Dwight Powell,C,6-10,240
11,ntilila01,Frank Ntilikina,G,6-4,200
12,hardati02,Tim Hardaway Jr.,G,6-5,205
13,doncilu01,Luka Dončić,G,6-7,230
14,bullore01,Reggie Bullock,F,6-6,205
15,dinwisp01,Spencer Dinwiddie,G,6-5,215
16,greenjo02,Josh Green,G,6-5,200
17,woodch01,Christian Wood,F,6-10,214
18,bertada01,Dāvis Bertāns,F,6-10,225
19,klebima01,Maxi Kleber,F,6-10,240
