,player_id,name,position,height,weight
0,watsope01,Peyton Watson,G,6-8,200
1,goldegr01,Grant Golden,F,6-10,255
2,whiteja03,Jack White,F,6-7,225
3,armsad01,Adonis Arms,G,6-5,200
4,gradyke01,Kellan Grady,G,6-5,205
5,reedda01,Davon Reed,G,6-5,208
6,jordade01,DeAndre Jordan,C,6-11,265
7,brownbr01,Bruce Brown,G,6-4,202
8,cancavl01,Vlatko Čančar,F,6-8,236
9,gilleco01,Collin Gillespie,G,6-3,195
10,jokicni01,Nikola Jokić,C,6-11,284
11,braunch01,Christian Braun,G,6-7,218
12,portemi01,Michael Porter Jr.,F,6-10,218
13,gordoaa01,Aaron Gordon,F,6-8,235
14,greenje02,Jeff Green,F,6-8,235
15,smithis01,Ish Smith,G,6-0,175
16,hylanbo01,Bones Hyland,G,6-3,173
17,nnajize01,Zeke Nnaji,F,6-9,240
18,caldwke01,Kentavious Caldwell-Pope,G,6-5,204
19,murraja01,Jamal Murray,G,6-3,215
