,player_id,name,position,height,weight
0,divindo01,Donte DiVincenzo,G,6-4,203
1,lamban01,Anthony Lamb,F,6-6,227
2,jeromty01,Ty Jerome,G,6-5,195
3,iguodan01,Andre Iguodala,F,6-6,215
4,robinje01,Jerome Robinson,G,6-4,190
5,greenja01,JaMychal Green,F,6-8,227
6,rolliry01,Ryan Rollins,G,6-4,180
7,spencpa01,Pat Spencer,G,6-3,205
8,weathqu01,Quinndary Weatherspoon,G,6-3,205
9,looneke01,Kevon Looney,F,6-9,222
10,wiggian01,Andrew Wiggins,F,6-7,197
11,baldwpa01,Patrick Baldwin Jr.,G,6-9,220
12,quinole01,Lester Quinones,G,6-5,208
13,moodymo01,Moses Moody,G,6-6,205
14,curryst01,Stephen Curry,G,6-2,185
15,kuminjo01,Jonathan Kuminga,F,6-8,210
16,wisemja01,James Wiseman,C,7-0,240
17,greendr01,Draymond Green,F,6-6,230
18,thompkl01,Klay Thompson,G,6-6,215
19,poolejo01,Jordan Poole,G,6-4,194
