,player_id,name,position,height,weight
0,marjabo01,Boban Marjanović,C,7-3,290
1,fernabr01,Bruno Fernando,C,6-9,240
2,tateja01,Jae'Sean Tate,F,6-4,230
3,washity02,TyTy Washington Jr.,G,6-3,197
4,smithja05,Jabari Smith Jr.,F,6-10,220
5,easonta01,Tari Eason,F,6-8,216
6,hudgitr01,Trevor Hudgins,G,6-0,180
7,nixda01,Daishen Nix,G,6-5,224
8,mathega01,Garrison Mathews,G,6-5,215
9,garubus01,Usman Garuba,F,6-8,220
10,porteke02,Kevin Porter Jr.,G,6-4,203
11,harklma01,Maurice Harkless,F,6-7,220
12,sengual01,Alperen Şengün,C,6-9,235
13,chrisjo01,Josh Christopher,G,6-5,215
14,greenja05,Jalen Green,G,6-4,178
15,maledth01,Théo Maledon,G,6-4,175
16,martike04,Kenyon Martin Jr.,F,6-6,215
17,favorde01,Derrick Favors,C,6-9,265
18,gordoer01,Eric Gordon,G,6-3,215
