,player_id,name,position,height,weight
0,covinro01,Robert Covington,F,6-7,209
1,fittsma01,Malik Fitts,F,6-8,230
2,darlina01,Nate Darling,G,6-6,200
3,diabamo01,Moussa Diabaté,F,6-11,210
4,moonxa01,Xavier Moon,G,6-2,165
5,brownmo01,Moses Brown,C,7-2,245
6,walljo01,John Wall,G,6-3,210
7,coffeam01,Amir Coffey,G,6-7,210
8,batumni01,Nicolas Batum,F,6-8,230
9,zubaciv01,Ivica Zubac,C,7-0,240
10,mannte01,Terance Mann,G,6-5,215
11,jacksre01,Reggie Jackson,G,6-2,208
12,leonaka01,Kawhi Leonard,F,6-7,225
13,prestja01,Jason Preston,G,6-4,187
14,bostobr01,Brandon Boston Jr.,G,6-7,185
15,powelno01,Norman Powell,G,6-3,215
16,kennalu01,Luke Kennard,G,6-5,206
17,georgpa01,Paul George,F,6-8,220
18,morrima03,Marcus Morris,F,6-8,218
