,player_id,name,position,height,weight
0,jonesda03,Damian Jones,C,6-11,245
1,bacondw01,Dwayne Bacon,G,6-6,221
2,ryanma01,Matt Ryan,F,6-7,215
3,schrode01,Dennis Schröder,G,6-3,172
4,reaveau01,Austin Reaves,G,6-5,206
5,huffja01,Jay Huff,C,7-1,240
6,mccoyja01,Javante McCoy,G,6-5,180
7,chrisma02,Max Christie,G,6-6,190
8,walkelo01,Lonnie Walker IV,G,6-4,204
9,bryanth01,Thomas Bryant,C,6-10,248
10,westbru01,Russell Westbrook,G,6-3,200
11,browntr01,Troy Brown Jr.,F,6-6,215
12,toscaju01,Juan Toscano-Anderson,F,6-6,209
13,swideco01,Cole Swider,F,6-9,220
14,pippesc02,Scotty Pippen Jr.,G,6-3,185
15,gabriwe01,Wenyen Gabriel,F,6-9,205
16,beverpa01,Patrick Beverley,G,6-1,180
17,nunnke01,Kendrick Nunn,G,6-2,190
18,davisan02,Anthony Davis,F,6-10,253
19,jamesle01,LeBron James,F,6-9,250
