,player_id,name,position,height,weight
0,jacksja02,Jaren Jackson Jr.,C,6-11,242
1,beanju01,Justin Bean,F,6-7,210
2,gilyaja01,Jacob Gilyard,G,5-9,160
3,chandke01,Kennedy Chandler,G,6-0,171
4,jonesty01,Tyus Jones,G,6-0,196
5,willivi01,Vince Williams Jr.,F,6-6,205
6,loftoke01,Kenneth Lofton Jr.,F,6-7,275
7,roddyda01,David Roddy,F,6-6,255
8,laravja01,Jake LaRavia,F,6-8,235
9,tilliki02,Killian Tillie,C,6-9,220
10,moranja01,Ja Morant,G,6-3,174
11,greenda02,Danny Green,G,6-6,215
12,aldamsa01,Santi Aldama,F,6-11,224
13,willizi02,Ziaire Williams,F,6-8,215
14,tillmxa01,Xavier Tillman Sr.,F,6-8,245
15,banede01,Desmond Bane,G,6-5,215
16,adamsst01,Steven Adams,C,6-11,265
17,konchjo01,John Konchar,G,6-5,210
18,brookdi01,Dillon Brooks,G,6-7,225
19,clarkbr01,Brandon Clarke,F,6-8,215
