,player_id,name,position,height,weight
0,martica02,Caleb Martin,F,6-5,205
1,smithdr01,Dru Smith,G,6-3,203
2,hasleud01,Udonis Haslem,F,6-8,235
3,cainja01,Jamal Cain,F,6-7,191
4,garrema01,Marcus Garrett,G,6-5,205
5,daysda01,Darius Days,F,6-7,245
6,bouyeja01,Jamaree Bouyea,G,6-2,180
7,oladivi01,Victor Oladipo,G,6-4,213
8,robinor01,Orlando Robinson,C,7-0,235
9,dedmode01,Dewayne Dedmon,C,7-0,245
10,herroty01,Tyler Herro,G,6-5,195
11,jovicni01,Nikola Jović,F,6-10,209
12,highsha01,Haywood Highsmith,F,6-7,220
13,robindu01,Duncan Robinson,F,6-7,215
14,lowryky01,Kyle Lowry,G,6-0,196
15,strusma01,Max Strus,F,6-5,215
16,vincega01,Gabe Vincent,G,6-3,200
17,yurtsom01,Omer Yurtseven,C,7-0,264
18,adebaba01,Bam Adebayo,C,6-9,255
19,butleji01,Jimmy Butler,F,6-7,230
