,player_id,name,position,height,weight
0,anderky01,Kyle Anderson,F,6-9,230
1,doziepj01,PJ Dozier,G,6-6,205
2,garzalu01,Luka Garza,C,6-11,235
3,ellebcj01,CJ Elleby,F,6-6,200
4,pascher01,Eric Paschall,F,6-6,255
5,lawsoaj01,A.J. Lawson,G,6-6,179
6,knighna01,Nathan Knight,F,6-10,253
7,riverau01,Austin Rivers,G,6-4,200
8,minotjo01,Josh Minott,F,6-8,205
9,forbebr01,Bryn Forbes,G,6-2,205
10,townska01,Karl-Anthony Towns,C,6-11,248
11,moorewe01,Wendell Moore Jr.,G,6-5,213
12,princta02,Taurean Prince,F,6-7,218
13,mclaujo01,Jordan McLaughlin,G,5-11,185
14,goberru01,Rudy Gobert,C,7-1,258
15,edwaran01,Anthony Edwards,G,6-4,225
16,mcdanja02,Jaden McDaniels,F,6-9,185
17,reidna01,Naz Reid,C,6-9,264
18,nowelja01,Jaylen Nowell,G,6-4,201
19,russeda01,D'Angelo Russell,G,6-4,193
