,player_id,name,position,height,weight
0,simsje01,Jericho Sims,C,6-10,245
1,harrija01,Jalen Harris,G,6-5,195
2,jeffrda01,DaQuan Jeffries,G,6-5,230
3,arcidry01,Ryan Arcidiacono,G,6-3,195
4,mykhasv01,Svi Mykhailiuk,F,6-7,205
5,keelstr01,Trevor Keels,G,6-5,221
6,harteis01,Isaiah Hartenstein,C,7-0,250
7,brunsja01,Jalen Brunson,G,6-1,190
8,robinmi01,Mitchell Robinson,C,7-0,240
9,barrerj01,RJ Barrett,G,6-6,214
10,randlju01,Julius Randle,F,6-8,250
11,rosede01,Derrick Rose,G,6-2,200
12,fournev01,Evan Fournier,G,6-7,205
13,grimequ01,Quentin Grimes,G,6-5,205
14,mcbrimi01,Miles McBride,G,6-2,200
15,quickim01,Immanuel Quickley,G,6-3,190
16,toppiob01,Obi Toppin,F,6-9,220
17,reddica01,Cam Reddish,F,6-8,218
