,player_id,name,position,height,weight
0,nurkiju01,Jusuf Nurkić,C,6-11,290
1,iwundwe01,Wes Iwundu,G,6-6,195
2,cacokde01,Devontae Cacok,F,6-7,240
3,sarrol01,Olivier Sarr,C,7-0,237
4,rhodeja01,Jared Rhoden,G,6-6,210
5,milleis01,Isaiah Miller,G,6-0,190
6,walkeja01,Jabari Walker,F,6-9,215
7,eubandr01,Drew Eubanks,C,6-9,245
8,simonan01,Anfernee Simons,G,6-3,181
9,paytoga02,Gary Payton II,G,6-3,190
10,littlna01,Nassir Little,F,6-5,220
11,sharpsh01,Shaedon Sharpe,G,6-6,200
12,watfotr01,Trendon Watford,F,6-9,240
13,hartjo01,Josh Hart,G,6-5,215
14,browngr01,Greg Brown III,F,6-9,205
15,winslju01,Justise Winslow,F,6-6,222
16,johnske07,Keon Johnson,G,6-5,186
17,grantje01,Jerami Grant,F,6-8,210
18,lillada01,Damian Lillard,G,6-2,195
