,player_id,name,position,height,weight
0,murrake02,Keegan Murray,F,6-8,215
1,bazemke01,Kent Bazemore,G,6-4,195
2,cookqu01,Quinn Cook,G,6-1,180
3,okpalkz01,KZ Okpala,F,6-8,215
4,merrisa01,Sam Merrill,G,6-4,205
5,dellama01,Matthew Dellavedova,G,6-3,200
6,monekch01,Chima Moneke,F,6-6,222
7,monkma01,Malik Monk,G,6-3,200
8,elliske01,Keon Ellis,G,6-6,175
9,quetane01,Neemias Queta,C,7-0,245
10,barneha02,Harrison Barnes,F,6-8,225
11,huertke01,Kevin Huerter,G,6-7,190
12,lenal01,Alex Len,C,7-0,250
13,mitchda01,Davion Mitchell,G,6-2,205
14,holmeri01,Richaun Holmes,F,6-10,235
15,lylestr01,Trey Lyles,F,6-9,234
16,daviste02,Terence Davis,G,6-4,201
17,metuch01,Chimezie Metu,C,6-9,225
18,foxde01,De'Aaron Fox,G,6-3,185
19,sabondo01,Domantas Sabonis,F,6-11,240
