,player_id,name,position,height,weight
0,toddis01,Isaiah Todd,F,6-10,220
1,dotsode01,Devon Dotson,G,6-2,185
2,goodwjo01,Jordan Goodwin,G,6-3,200
3,jacksqu01,Quenton Jackson,G,6-5,175
4,makerma02,Makur Maker,C,6-11,235
5,gibsota01,Taj Gibson,F,6-9,232
6,wrighde01,Delon Wright,G,6-5,185
7,bealbr01,Bradley Beal,G,6-4,207
8,gillan01,Anthony Gill,F,6-7,230
9,davisjo06,Johnny Davis,G,6-5,196
10,hachiru01,Rui Hachimura,F,6-8,230
11,bartowi01,Will Barton,G,6-6,181
12,kispeco01,Corey Kispert,F,6-7,220
13,kuzmaky01,Kyle Kuzma,F,6-9,221
14,morrimo01,Monte Morris,G,6-2,183
15,avdijde01,Deni Avdija,F,6-9,210
16,careyve01,Vernon Carey Jr.,C,6-9,270
17,porzikr01,Kristaps Porziņģis,F,7-3,240
18,gaffoda01,Daniel Gafford,F,6-10,234
