game_code,game_date,game_time,home_code,home_name,home_link,away_code,away_name,away_link,arena
BOS-PHI-10182022,10-18-2022,7:30p,BOS,Boston Celtics,/teams/BOS/2023.html,PHI,Philadelphia 76ers,/teams/PHI/2023.html,TD Garden
GSW-LAL-10182022,10-18-2022,10:00p,GSW,Golden State Warriors,/teams/GSW/2023.html,LAL,Los Angeles Lakers,/teams/LAL/2023.html,Chase Center
DET-ORL-10192022,10-19-2022,7:00p,DET,Detroit Pistons,/teams/DET/2023.html,ORL,Orlando Magic,/teams/ORL/2023.html,Little Caesars Arena
IND-WAS-10192022,10-19-2022,7:00p,IND,Indiana Pacers,/teams/IND/2023.html,WAS,Washington Wizards,/teams/WAS/2023.html,Gainbridge Fieldhouse
ATL-HOU-10192022,10-19-2022,7:30p,ATL,Atlanta Hawks,/teams/ATL/2023.html,HOU,Houston Rockets,/teams/HOU/2023.html,State Farm Arena
BRK-NOP-10192022,10-19-2022,7:30p,BRK,Brooklyn Nets,/teams/BRK/2023.html,NOP,New Orleans Pelicans,/teams/NOP/2023.html,Barclays Center
MEM-NYK-10192022,10-19-2022,7:30p,MEM,Memphis Grizzlies,/teams/MEM/2023.html,NYK,New York Knicks,/teams/NYK/2023.html,FedEx Forum
MIA-CHI-10192022,10-19-2022,7:30p,MIA,Miami Heat,/teams/MIA/2023.html,CHI,Chicago Bulls,/teams/CHI/2023.html,FTX Arena
TOR-CLE-10192022,10-19-2022,7:30p,TOR,Toronto Raptors,/teams/TOR/2023.html,CLE,Cleveland Cavaliers,/teams/CLE/2023.html,Scotiabank Arena
MIN-OKC-10192022,10-19-2022,8:00p,MIN,Minnesota Timberwolves,/teams/MIN/2023.html,OKC,Oklahoma City Thunder,/teams/OKC/2023.html,Target Center
SAS-CHO-10192022,10-19-2022,8:00p,SAS,San Antonio Spurs,/teams/SAS/2023.html,CHO,Charlotte Hornets,/teams/CHO/2023.html,AT&T Center
UTA-DEN-10192022,10-19-2022,9:00p,UTA,Utah Jazz,/teams/UTA/2023.html,DEN,Denver Nuggets,/teams/DEN/2023.html,Vivint Arena
PHO-DAL-10192022,10-19-2022,10:00p,PHO,Phoenix Suns,/teams/PHO/2023.html,DAL,Dallas Mavericks,/teams/DAL/2023.html,Footprint Center
SAC-POR-10192022,10-19-2022,10:00p,SAC,Sacramento Kings,/teams/SAC/2023.html,POR,Portland Trail Blazers,/teams/POR/2023.html,Golden 1 Center
PHI-MIL-10202022,10-20-2022,7:30p,PHI,Philadelphia 76ers,/teams/PHI/2023.html,MIL,Milwaukee Bucks,/teams/MIL/2023.html,Wells Fargo Center
LAL-LAC-10202022,10-20-2022,10:00p,LAL,Los Angeles Lakers,/teams/LAL/2023.html,LAC,Los Angeles Clippers,/teams/LAC/2023.html,Crypto.com Arena
CHO-NOP-10212022,10-21-2022,7:00p,CHO,Charlotte Hornets,/teams/CHO/2023.html,NOP,New Orleans Pelicans,/teams/NOP/2023.html,Spectrum Center
IND-SAS-10212022,10-21-2022,7:00p,IND,Indiana Pacers,/teams/IND/2023.html,SAS,San Antonio Spurs,/teams/SAS/2023.html,Gainbridge Fieldhouse
WAS-CHI-10212022,10-21-2022,7:00p,WAS,Washington Wizards,/teams/WAS/2023.html,CHI,Chicago Bulls,/teams/CHI/2023.html,Capital One Arena
ATL-ORL-10212022,10-21-2022,7:30p,ATL,Atlanta Hawks,/teams/ATL/2023.html,ORL,Orlando Magic,/teams/ORL/2023.html,State Farm Arena
BRK-TOR-10212022,10-21-2022,7:30p,BRK,Brooklyn Nets,/teams/BRK/2023.html,TOR,Toronto Raptors,/teams/TOR/2023.html,Barclays Center
MIA-BOS-10212022,10-21-2022,7:30p,MIA,Miami Heat,/teams/MIA/2023.html,BOS,Boston Celtics,/teams/BOS/2023.html,FTX Arena
NYK-DET-10212022,10-21-2022,7:30p,NYK,New York Knicks,/teams/NYK/2023.html,DET,Detroit Pistons,/teams/DET/2023.html,Madison Square Garden (IV)
