,player_id,name,position,height,weight
0,davisjd01,JD Davison,G,6-3,195
1,griffbl01,Blake Griffin,F,6-9,250
2,thomabr01,Brodric Thomas,G,6-5,185
3,samanlu01,Luka Šamanić,F,6-10,227
4,laymaja01,Jake Layman,F,6-8,209
5,jacksju01,Justin Jackson,F,6-8,220
6,vonleno01,Noah Vonleh,F,6-10,257
7,kabenmf01,Mfiondu Kabengele,F,6-9,250
8,hausesa01,Sam Hauser,F,6-8,215
9,kornelu01,Luke Kornet,C,7-2,250
10,willigr01,Grant Williams,F,6-6,236
11,gallida01,Danilo Gallinari,F,6-10,233
12,williro04,Robert Williams,C,6-8,237
13,smartma01,Marcus Smart,G,6-3,220
14,whitede01,Derrick White,G,6-4,190
15,tatumja01,Jayson Tatum,F,6-8,210
16,pritcpa01,Payton Pritchard,G,6-1,195
17,brownja02,Jaylen Brown,F,6-6,223
18,horfoal01,Al Horford,C,6-9,240
19,brogdma01,Malcolm Brogdon,G,6-5,229
