,player_id,name,position,height,weight
0,edwarke02,Kessler Edwards,F,6-8,215
1,watanyu01,Yuta Watanabe,F,6-9,215
2,grayra01,RaiQuan Gray,F,6-8,260
3,chiozch01,Chris Chiozza,G,5-11,175
4,dukeda01,David Duke Jr.,G,6-5,205
5,morrima02,Markieff Morris,F,6-9,245
6,claxtni01,Nic Claxton,C,6-11,215
7,millspa02,Patty Mills,G,6-1,180
8,sumneed01,Edmond Sumner,G,6-4,196
9,warretj01,T.J. Warren,F,6-8,220
10,irvinky01,Kyrie Irving,G,6-2,195
11,willial06,Alondes Williams,G,6-5,210
12,duranke01,Kevin Durant,F,6-10,240
13,thomaca02,Cam Thomas,G,6-4,210
14,sharpda01,Day'Ron Sharpe,C,6-11,265
15,harrijo01,Joe Harris,G,6-6,220
16,onealro01,Royce O'Neale,F,6-4,226
17,simmobe01,Ben Simmons,G,6-11,240
18,curryse01,Seth Curry,G,6-2,185
