,player_id,name,position,height,weight
0,jonesde02,Derrick Jones Jr.,F,6-5,210
1,antetko01,Kostas Antetokounmpo,F,6-10,200
2,hillma01,Malcolm Hill,F,6-6,220
3,jonesca03,Carlik Jones,G,6-1,185
4,dragigo01,Goran Dragić,G,6-3,190
5,lavinza01,Zach LaVine,G,6-5,200
6,terryda01,Dalen Terry,G,6-7,195
7,lewisju02,Justin Lewis,F,6-7,245
8,freemja01,Javon Freeman-Liberty,G,6-4,180
9,drumman01,Andre Drummond,C,6-10,279
10,whiteco01,Coby White,G,6-5,195
11,simonma01,Marko Simonovic,C,6-11,216
12,dosunay01,Ayo Dosunmu,G,6-5,200
13,greenja02,Javonte Green,G,6-4,205
14,derozde01,DeMar DeRozan,G,6-6,220
15,bradlto01,Tony Bradley,C,6-10,248
16,carusal01,Alex Caruso,G,6-4,186
17,balllo01,Lonzo Ball,G,6-6,190
18,willipa01,Patrick Williams,F,6-7,215
19,vucevni01,Nikola Vučević,C,6-10,260
