,player_id,name,position,height,weight
0,richani01,Nick Richards,C,7-0,245
1,sneedxa01,Xavier Sneed,F,6-5,215
2,ballli01,LiAngelo Ball,G,6-5,215
3,smithde03,Dennis Smith Jr.,G,6-2,205
4,crutcja01,Jalen Crutcher,G,6-2,175
5,durujan01,Anthony Duruji,F,6-7,220
6,simsja01,Jaylen Sims,G,6-6,195
7,martico01,Cody Martin,F,6-5,205
8,mcgowbr01,Bryce McGowens,G,6-7,179
9,willima07,Mark Williams,C,7-1,241
10,washipj01,P.J. Washington,F,6-7,230
11,roziete01,Terry Rozier,G,6-1,190
12,oubreke01,Kelly Oubre Jr.,F,6-7,203
13,thorjt01,JT Thor,F,6-10,205
14,joneska01,Kai Jones,C,6-11,218
15,bouknja01,James Bouknight,G,6-5,190
16,plumlma01,Mason Plumlee,C,6-11,254
17,ballla01,LaMelo Ball,G,6-7,180
18,haywago01,Gordon Hayward,F,6-7,225
19,mcdanja01,Jalen McDaniels,F,6-9,205
