,player_id,name,position,height,weight
0,allenja01,Jarrett Allen,C,6-11,243
1,coopesh01,Sharife Cooper,G,6-1,180
2,hintona01,Nate Hinton,G,6-5,210
3,diakima01,Mamadi Diakite,F,6-9,228
4,pickeja01,Jamorko Pickett,F,6-9,206
5,lopezro01,Robin Lopez,C,7-0,281
6,netora01,Raul Neto,G,6-1,180
7,rubiori01,Ricky Rubio,G,6-2,190
8,nembhrj01,RJ Nembhard Jr.,G,6-5,200
9,mobleis01,Isaiah Mobley,F,6-10,240
10,loveke01,Kevin Love,F,6-8,251
11,mobleev01,Evan Mobley,C,7-0,215
12,stevela01,Lamar Stevens,F,6-6,230
13,mitchdo01,Donovan Mitchell,G,6-1,215
14,okorois01,Isaac Okoro,G,6-5,225
15,wadede01,Dean Wade,F,6-9,228
16,osmande01,Cedi Osman,F,6-7,230
17,leverca01,Caris LeVert,G,6-6,205
18,windldy01,Dylan Windler,F,6-6,196
19,garlada01,Darius Garland,G,6-1,192
