,player_id,name,position,height,weight
0,burksal01,Alec Burks,G,6-6,214
1,bernaju01,Jules Bernard,F,6-7,210
2,umudest01,Stanley Umude,G,6-6,210
3,knoxke01,Kevin Knox,F,6-7,215
4,mcgruro01,Rodney McGruder,G,6-4,205
5,durenja01,Jalen Duren,C,6-10,250
6,baglema01,Marvin Bagley III,F,6-11,235
7,boehebu01,Buddy Boeheim,G,6-6,205
8,iveyja01,Jaden Ivey,G,6-4,195
9,diallha01,Hamidou Diallo,G,6-5,202
10,bogdabo02,Bojan Bogdanović,F,6-7,226
11,walkeke02,Kemba Walker,G,6-0,184
12,josepco01,Cory Joseph,G,6-3,200
13,noelne01,Nerlens Noel,C,6-11,220
14,cunnica01,Cade Cunningham,G,6-6,220
15,liveris01,Isaiah Livers,F,6-7,230
16,stewais01,Isaiah Stewart,C,6-8,250
17,beysa01,Saddiq Bey,F,6-7,215
18,hayeski01,Killian Hayes,G,6-5,195
