,player_id,name,position,height,weight
0,jacksis01,Isaiah Jackson,F,6-10,206
1,gallola01,Langston Galloway,G,6-1,200
2,johnsja01,James Johnson,F,6-7,240
3,brownke03,Kendall Brown,G,6-8,205
4,sirvyde01,Deividas Sirvydis,G,6-8,190
5,nembhan01,Andrew Nembhard,G,6-5,193
6,smithja04,Jalen Smith,F,6-10,215
7,mathube01,Bennedict Mathurin,G,6-6,210
8,taylote01,Terry Taylor,G,6-5,230
9,turnemy01,Myles Turner,C,6-11,250
10,duartch01,Chris Duarte,F,6-6,190
11,mccontj01,T.J. McConnell,G,6-1,190
12,theisda01,Daniel Theis,C,6-8,245
13,brissos01,Oshae Brissett,F,6-7,210
14,halibty01,Tyrese Haliburton,G,6-5,185
15,nesmiaa01,Aaron Nesmith,F,6-5,215
16,hieldbu01,Buddy Hield,G,6-4,220
17,bitadgo01,Goga Bitadze,C,6-11,250
