,player_id,name,position,height,weight
0,hernawi01,Willy Hernangómez,C,6-11,250
1,butlejo01,John Butler,C,7-1,175
2,cheatzy01,Zylan Cheatham,F,6-5,220
3,seabrde01,Dereon Seabron,G,6-7,180
4,plowdda01,Daeqwon Plowden,G,6-6,215
5,pettyjo01,John Petty Jr.,G,6-5,184
6,daniedy01,Dyson Daniels,G,6-8,199
7,alvarjo01,Jose Alvarado,G,6-0,179
8,valanjo01,Jonas Valančiūnas,C,6-11,265
9,joneshe01,Herbert Jones,F,6-8,210
10,nancela02,Larry Nance Jr.,F,6-7,245
11,murphtr02,Trey Murphy III,F,6-9,206
12,templga01,Garrett Temple,G,6-5,195
13,grahade01,Devonte' Graham,G,6-1,195
14,marshna01,Naji Marshall,F,6-7,220
15,ingrabr01,Brandon Ingram,F,6-8,190
16,lewiski01,Kira Lewis Jr.,G,6-1,170
17,mccolcj01,CJ McCollum,G,6-3,190
18,hayesja02,Jaxson Hayes,C,6-11,220
19,willizi01,Zion Williamson,F,6-6,284
