,player_id,name,position,height,weight
0,chrisma01,Marquese Chriss,F,6-9,240
1,woodaro01,Robert Woodard II,F,6-6,235
2,muscami01,Mike Muscala,C,6-10,240
3,willija07,Jaylin Williams,F,6-10,240
4,dortlu01,Luguentz Dort,G,6-3,215
5,diengou01,Ousmane Dieng,F,6-10,216
6,omorueu01,Eugene Omoruyi,F,6-7,244
7,holmgch01,Chet Holmgren,F,7-0,195
8,willija06,Jalen Williams,G,6-6,195
9,wiggiaa01,Aaron Wiggins,G,6-6,200
10,bazleda01,Darius Bazley,F,6-8,208
11,robinje02,Jeremiah Robinson-Earl,F,6-9,230
12,nwabada01,David Nwaba,F,6-5,219
13,giddejo01,Josh Giddey,G,6-8,210
14,manntr01,Tre Mann,G,6-3,178
15,gilgesh01,Shai Gilgeous-Alexander,G,6-6,180
16,pokusal01,Aleksej Pokusevski,F,7-0,190
17,burketr01,Trey Burke,G,6-0,185
18,willike04,Kenrich Williams,F,6-6,210
