,player_id,name,position,height,weight
0,cannade01,Devin Cannady,G,6-2,183
1,simpsza01,Zavier Simpson,G,6-0,190
2,fordal03,Aleem Ford,F,6-8,220
3,harriga01,Gary Harris,G,6-4,210
4,harrike01,Kevon Harris,G,6-6,216
5,schofad01,Admiral Schofield,F,6-5,241
6,houstca01,Caleb Houstan,G,6-8,205
7,bolbo01,Bol Bol,F,7-2,220
8,bambamo01,Mo Bamba,C,7-0,231
9,banchpa01,Paolo Banchero,F,6-10,250
10,rosste01,Terrence Ross,G,6-6,206
11,cartewe01,Wendell Carter Jr.,C,6-10,270
12,wagnemo01,Moritz Wagner,C,6-11,245
13,wagnefr01,Franz Wagner,F,6-9,225
14,suggsja01,Jalen Suggs,G,6-4,205
15,isaacjo01,Jonathan Isaac,F,6-11,230
16,fultzma01,Markelle Fultz,G,6-3,209
17,hamptrj01,R.J. Hampton,G,6-4,175
18,anthoco01,Cole Anthony,G,6-2,185
19,okekech01,Chuma Okeke,F,6-6,229
