,player_id,name,position,height,weight
0,niangge01,Georges Niang,F,6-7,230
1,harremo01,Montrezl Harrell,C,6-7,240
2,hardeja01,James Harden,G,6-5,220
3,fostemi02,Michael Foster Jr.,F,6-8,250
4,houseda01,Danuel House Jr.,F,6-6,220
5,tuckepj01,P.J. Tucker,F,6-5,245
6,champju02,Julian Champagnie,F,6-8,220
7,queentr01,Trevelin Queen,G,6-6,190
8,bassech01,Charles Bassey,C,6-11,235
9,korkmfu01,Furkan Korkmaz,G,6-7,202
10,embiijo01,Joel Embiid,C,7-0,280
11,sprinja01,Jaden Springer,G,6-4,204
12,reedpa01,Paul Reed,F,6-9,210
13,maxeyty01,Tyrese Maxey,G,6-2,200
14,joeis01,Isaiah Joe,G,6-4,165
15,meltode01,De'Anthony Melton,G,6-2,200
16,harrito02,Tobias Harris,F,6-8,226
17,miltosh01,Shake Milton,G,6-5,205
18,thybuma01,Matisse Thybulle,G,6-5,201
