,player_id,name,position,height,weight
0,shamela01,Landry Shamet,G,6-4,190
1,luwawti01,Timothé Luwawu-Cabarrot,F,6-7,220
2,jacksfr01,Frank Jackson,G,6-3,205
3,wainris01,Ish Wainright,F,6-6,250
4,washidu02,Duane Washington Jr.,G,6-3,210
5,aytonde01,Deandre Ayton,C,6-11,250
6,biyombi01,Bismack Biyombo,C,6-8,255
7,okogijo01,Josh Okogie,G,6-4,213
8,leeda03,Damion Lee,G,6-5,210
9,bookede01,Devin Booker,G,6-5,206
10,bridgmi01,Mikal Bridges,F,6-6,209
11,landajo01,Jock Landale,C,6-11,256
12,craigto01,Torrey Craig,F,6-7,221
13,payneca01,Cameron Payne,G,6-1,183
14,paulch01,Chris Paul,G,6-0,175
15,saricda01,Dario Šarić,F,6-10,225
16,crowdja01,Jae Crowder,F,6-6,235
17,johnsca02,Cameron Johnson,F,6-8,210
