,player_id,name,position,height,weight
0,weslebl01,Blake Wesley,G,6-5,185
1,kuhseto01,Tommy Kuhse,G,6-2,185
2,wieskjo01,Joe Wieskamp,F,6-6,212
3,johnsal02,Alize Johnson,F,6-7,212
4,halljo02,Jordan Hall,G,6-7,215
5,dienggo01,Gorgui Dieng,C,6-10,252
6,barlodo01,Dominick Barlow,F,6-9,221
7,branhma01,Malaki Branham,G,6-5,180
8,sochaje01,Jeremy Sochan,F,6-9,230
9,robyis01,Isaiah Roby,F,6-8,230
10,johnske04,Keldon Johnson,F,6-5,220
11,bateske01,Keita Bates-Diop,F,6-8,229
12,richajo01,Josh Richardson,G,6-5,200
13,primojo01,Joshua Primo,G,6-6,190
14,colliza01,Zach Collins,F,6-11,250
15,mcderdo01,Doug McDermott,F,6-7,225
16,vassede01,Devin Vassell,G,6-5,200
17,jonestr01,Tre Jones,G,6-1,185
18,poeltja01,Jakob Poeltl,C,7-1,245
19,langfro01,Romeo Langford,G,6-4,216
