,player_id,name,position,height,weight
0,bouchch01,Chris Boucher,F,6-9,200
1,jacksjo02,Josh Jackson,F,6-8,207
2,kolokch01,Christian Koloko,C,7-1,230
3,youngth01,Thaddeus Young,F,6-8,235
4,brownga01,Gabe Brown,F,6-8,215
5,hernaju01,Juancho Hernangómez,F,6-9,214
6,dowtije01,Jeff Dowtin,G,6-3,185
7,harpero02,Ron Harper Jr.,F,6-6,245
8,champju01,Justin Champagnie,F,6-6,200
9,wilsodj01,D.J. Wilson,F,6-10,231
10,siakapa01,Pascal Siakam,F,6-9,230
11,porteot01,Otto Porter Jr.,F,6-8,198
12,trentga02,Gary Trent Jr.,G,6-5,209
13,bantoda01,Dalano Banton,G,6-9,204
14,barnesc01,Scottie Barnes,F,6-9,227
15,birchkh01,Khem Birch,C,6-9,233
16,anunoog01,OG Anunoby,F,6-7,232
17,flynnma01,Malachi Flynn,G,6-1,175
18,achiupr01,Precious Achiuwa,F,6-8,225
19,vanvlfr01,Fred VanVleet,G,6-1,197
