,player_id,name,position,height,weight
0,vandeja01,Jarred Vanderbilt,F,6-9,214
1,zelleco01,Cody Zeller,C,6-11,240
2,sextoco01,Collin Sexton,G,6-1,190
3,fontesi01,Simone Fontecchio,F,6-8,209
4,juzanjo01,Johnny Juzang,F,6-7,215
5,kesslwa01,Walker Kessler,C,7-1,245
6,agbajoc01,Ochai Agbaji,G,6-5,215
7,johnsst04,Stanley Johnson,F,6-6,242
8,butleja02,Jared Butler,G,6-3,195
9,bolmale01,Leandro Bolmaro,G,6-6,200
10,alexani01,Nickeil Alexander-Walker,G,6-6,205
11,markkla01,Lauri Markkanen,F,7-0,240
12,leesa01,Saben Lee,G,6-2,183
13,hortota01,Talen Horton-Tucker,G,6-4,234
14,conlemi01,Mike Conley,G,6-1,175
15,gayru01,Rudy Gay,F,6-8,250
16,olynyke01,Kelly Olynyk,C,6-11,240
17,beaslma01,Malik Beasley,G,6-4,187
18,azubuud01,Udoka Azubuike,C,6-10,280
19,clarkjo01,Jordan Clarkson,G,6-4,194
